col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
6,5.0,5.0,6.0,7.0,4.0,1.0,2.0,5.0,5.0,4.0,4.0
4,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
5,5.0,6.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0
4,4.0,5.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,6.0,2.0
6,6.0,6.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0
6,5.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0
5,5.0,5.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0
6,7.0,6.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0
5,5.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0
5,5.0,5.0,2.0,3.0,5.0,6.0,5.0,4.0,5.0,5.0,3.0
6,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0
5,7.0,7.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0
5,4.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,4.0,3.0
6,6.0,6.0,5.0,3.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0
4,6.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,6.0,4.0,5.0
5,6.0,6.0,5.0,2.0,5.0,5.0,6.0,4.0,6.0,4.0,6.0
5,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0
6,6.0,6.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0
6,5.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0
6,6.0,6.0,1.0,2.0,5.0,5.0,6.0,2.0,6.0,6.0,7.0
7,6.0,7.0,3.0,2.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0
5,5.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0
4,4.0,3.0,6.0,5.0,5.0,5.0,2.0,2.0,6.0,4.0,3.0
5,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0
7,6.0,6.0,2.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
7,1.0,6.0,5.0,5.0,3.0,5.0,5.0,4.0,6.0,5.0,6.0
5,6.0,6.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0
5,5.0,6.0,6.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0
5,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
6,5.0,6.0,2.0,2.0,4.0,5.0,6.0,5.0,4.0,5.0,6.0
6,6.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
6,6.0,6.0,3.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0
6,6.0,4.0,6.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0
5,6.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0
5,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0
6,5.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0
4,4.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0
6,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0
5,5.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0
6,7.0,6.0,6.0,5.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0
3,4.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0
6,6.0,6.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
4,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0
7,5.0,5.0,1.0,2.0,2.0,5.0,5.0,6.0,6.0,2.0,6.0
6,6.0,6.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
5,6.0,7.0,3.0,3.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0
6,6.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0
6,6.0,5.0,3.0,6.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0
5,4.0,4.0,3.0,5.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0
6,6.0,6.0,5.0,3.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0
5,7.0,5.0,4.0,4.0,4.0,6.0,4.0,3.0,6.0,5.0,4.0
7,7.0,7.0,2.0,2.0,6.0,7.0,6.0,5.0,7.0,5.0,6.0
6,6.0,7.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0
5,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
6,5.0,5.0,3.0,6.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0
5,4.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0
5,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0
4,6.0,5.0,3.0,4.0,6.0,6.0,5.0,4.0,6.0,5.0,6.0
6,7.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,4.0,5.0,5.0
